key,name,level,store,parentStoreTag,url,Tags
chocolate-sweets-snacks/chocolate-blocks/whittakers-destination-india,Whittakers Destination India,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/chocolate-blocks/whittakers-destination-india,
fruit-vegetables/fresh-herbs/chives,Chives,3,,,https://shop.countdown.co.nz/Shop/Browse/fruit-vegetables/fresh-herbs/chives,
personal-care/oral-care/dental-travel-pack,Dental Travel Pack,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/oral-care/dental-travel-pack,
cleaning-homecare/cleaning-products/disinfectant,Disinfectant,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/cleaning-products/disinfectant,
chocolate-sweets-snacks/chocolate-bars/cadbury-frys,Cadbury Frys,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/chocolate-bars/cadbury-frys,
liquor-wine/sparkling-wine/sparkling-moscato,Sparkling Moscato,3,,,https://shop.countdown.co.nz/Shop/Browse/liquor-wine/sparkling-wine/sparkling-moscato,
office-entertainment/writing-equipment/markers,Markers,3,,,https://shop.countdown.co.nz/Shop/Browse/office-entertainment/writing-equipment/markers,
clothing-manchester/towels-sheets-manchester/hand-towel,Hand Towel,3,,,https://shop.countdown.co.nz/Shop/Browse/clothing-manchester/towels-sheets-manchester/hand-towel,
bakery/bread-rolls-bread-sticks-bagels/buffet-rolls,Buffet Rolls,3,,,https://shop.countdown.co.nz/Shop/Browse/bakery/bread-rolls-bread-sticks-bagels/buffet-rolls,
home-kitchenware/bbq-leisure-outdoor/bbq-lighter,Bbq Lighter,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/bbq-leisure-outdoor/bbq-lighter,
deli-chilled-foods/dips-hummus-pate/hummus,Hummus,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/dips-hummus-pate/hummus,
meal-ingredients/sauces/mint-sauce,Mint Sauce,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/sauces/mint-sauce,
